0,14,2015-06-01 00:00:00 UTC,BEZPODSTAWNE,751133154,VOLODYMYR,KAMINSKI
1,292,2015-06-01 04:21:03 UTC,STANDARDOWE,485123870,SZYMON,WIECZOREK
2,87,2015-06-01 06:44:15 UTC,STANDARDOWE,937793120,PATRYK,JASINSKI
3,28,2015-06-01 11:57:08 UTC,BEZPODSTAWNE,455101224,RAFAL,WISNIEWSKI
4,188,2015-06-01 15:40:47 UTC,BEZPODSTAWNE,769855192,BARTOSZ,WALCZAK
5,205,2015-06-01 20:59:43 UTC,BEZPODSTAWNE,393441436,MAREK,WISNIEWSKI
6,71,2015-06-02 00:14:22 UTC,NISKI PRIORYTET,647880976,SZYMON,KOZLOWSKI
7,306,2015-06-02 05:44:33 UTC,KRYTYCZNE,170087149,NIKODEM,ZIOLKOWSKI
8,244,2015-06-02 08:21:02 UTC,BEZPODSTAWNE,900833993,ADAM,WISNIEWSKI
9,128,2015-06-02 11:06:13 UTC,BEZPODSTAWNE,622054587,MICHAL,LEWANDOWSKI
10,9,2015-06-02 16:55:03 UTC,NISKI PRIORYTET,518692932,GRZEGORZ,SZYMANSKI
11,128,2015-06-02 22:12:15 UTC,PILNE,136105216,JAKUB,SAWICKI
12,182,2015-06-03 03:41:23 UTC,STANDARDOWE,719848417,JERZY,KAMINSKI
13,14,2015-06-03 05:38:29 UTC,PILNE,818046804,SZYMON,WILK
14,47,2015-06-03 12:05:49 UTC,NISKI PRIORYTET,509650580,DARIUSZ,MAZUREK
15,162,2015-06-03 14:59:08 UTC,BEZPODSTAWNE,529234006,GRZEGORZ,LEWANDOWSKI
16,169,2015-06-03 19:41:27 UTC,KRYTYCZNE,579936581,OLIWIER,WOZNIAK
17,113,2015-06-03 21:52:08 UTC,STANDARDOWE,271006255,KRZYSZTOF,KONIECZNY
18,290,2015-06-04 02:37:19 UTC,PILNE,863062447,WOJCIECH,ZAJAC
19,174,2015-06-04 06:22:40 UTC,PILNE,720167812,WALDEMAR,WOJCIECHOWSKI
20,41,2015-06-04 09:54:05 UTC,NISKI PRIORYTET,317089701,JAKUB,JAKUBOWSKI
21,278,2015-06-04 14:22:52 UTC,PILNE,307998197,ANDRZEJ,KACZMAREK
22,119,2015-06-04 17:38:09 UTC,PILNE,295656434,MARCIN,MICHALSKI
23,138,2015-06-04 22:07:40 UTC,PILNE,879521830,LUKASZ,URBANSKI
24,7,2015-06-05 01:52:12 UTC,NISKI PRIORYTET,449587610,MACIEJ,ZIELINSKI
25,191,2015-06-05 04:08:28 UTC,NISKI PRIORYTET,621953364,WOJCIECH,CHMIELEWSKI
26,137,2015-06-05 08:29:36 UTC,BEZPODSTAWNE,783450452,KRYSTIAN,SZYMANSKI
27,78,2015-06-05 12:38:27 UTC,NISKI PRIORYTET,623369676,STEFAN,WOJCIK
28,223,2015-06-05 17:00:56 UTC,STANDARDOWE,589935366,ROMAN,KOWALSKI
29,139,2015-06-05 20:29:24 UTC,BEZPODSTAWNE,298961664,PRZEMYSLAW,PIETRZAK
30,143,2015-06-06 03:06:52 UTC,NISKI PRIORYTET,334432262,JAKUB,KAZMIERCZAK
31,301,2015-06-06 09:42:33 UTC,BEZPODSTAWNE,578979738,ANDRZEJ,BRZEZINSKI
32,297,2015-06-06 13:31:46 UTC,STANDARDOWE,218359217,TOMASZ,GORSKI
33,14,2015-06-06 17:36:20 UTC,BEZPODSTAWNE,492772196,BOGDAN,SIKORSKI
34,77,2015-06-06 21:10:01 UTC,PILNE,444722879,ANDRZEJ,WISNIEWSKI
35,110,2015-06-06 23:25:08 UTC,BEZPODSTAWNE,297351175,PAWEL,JANKOWSKI
36,23,2015-06-07 01:15:21 UTC,PILNE,583269953,KACPER,PIETRZAK
37,65,2015-06-07 04:40:17 UTC,BEZPODSTAWNE,459266678,JAKUB,MARCINIAK
38,309,2015-06-07 08:57:53 UTC,BEZPODSTAWNE,191779613,WIESLAW,SIKORSKI
39,112,2015-06-07 14:06:03 UTC,NISKI PRIORYTET,950666323,PIOTR,NOWAK
40,329,2015-06-07 17:51:06 UTC,BEZPODSTAWNE,255178209,ANDRII,WILK
41,74,2015-06-07 22:14:24 UTC,BEZPODSTAWNE,725174348,TOMASZ,KAMINSKI
42,174,2015-06-08 03:24:40 UTC,NISKI PRIORYTET,466709367,PAWEL,WISNIEWSKI
43,315,2015-06-08 07:38:46 UTC,BEZPODSTAWNE,487964107,MIKOLAJ,KOWALSKI
44,109,2015-06-08 09:37:54 UTC,BEZPODSTAWNE,603296598,WLADYSLAW,BARAN
45,85,2015-06-08 11:20:31 UTC,STANDARDOWE,391214625,KRZYSZTOF,KOWALSKI
46,155,2015-06-08 14:21:05 UTC,NISKI PRIORYTET,221886612,MATEUSZ,KRAJEWSKI
47,182,2015-06-08 20:14:03 UTC,BEZPODSTAWNE,388634788,ZBIGNIEW,SZCZEPANSKI
48,123,2015-06-09 02:07:37 UTC,PILNE,466078804,JACEK,KAMINSKI
49,49,2015-06-09 08:02:17 UTC,BEZPODSTAWNE,255857366,MARIAN,WOZNIAK
50,175,2015-06-09 10:25:19 UTC,NISKI PRIORYTET,731148053,JERZY,DUDEK
51,194,2015-06-09 16:03:58 UTC,BEZPODSTAWNE,977390658,PIOTR,DABROWSKI
52,326,2015-06-09 19:36:17 UTC,STANDARDOWE,312010037,DANIEL,KOWALSKI
53,241,2015-06-10 00:33:06 UTC,BEZPODSTAWNE,927466619,MARCEL,NOWAK
54,60,2015-06-10 05:47:37 UTC,STANDARDOWE,323287604,DAMIAN,KACZMARCZYK
55,0,2015-06-10 07:59:56 UTC,KRYTYCZNE,109204765,MICHAL,KRAWCZYK
56,63,2015-06-10 13:18:41 UTC,BEZPODSTAWNE,755483342,ADAM,KOWALSKI
57,141,2015-06-10 19:44:48 UTC,BEZPODSTAWNE,880996253,DARIUSZ,KACZMAREK
58,91,2015-06-11 01:03:19 UTC,KRYTYCZNE,887856230,JAKUB,WITKOWSKI
59,220,2015-06-11 05:26:06 UTC,PILNE,184021699,KACPER,WLODARCZYK
60,26,2015-06-11 09:55:13 UTC,BEZPODSTAWNE,784160566,WITOLD,WALCZAK
61,189,2015-06-11 15:38:29 UTC,NISKI PRIORYTET,424255742,TOMASZ,MAJEWSKI
62,29,2015-06-11 21:27:05 UTC,STANDARDOWE,939347621,VOLODYMYR,LEWANDOWSKI
63,26,2015-06-11 23:21:07 UTC,STANDARDOWE,798380349,SZYMON,KAMINSKI
64,54,2015-06-12 05:41:06 UTC,BEZPODSTAWNE,416581427,KAMIL,WITKOWSKI
65,231,2015-06-12 07:54:20 UTC,PILNE,881153860,IRENEUSZ,NOWAK
66,141,2015-06-12 10:05:05 UTC,PILNE,732267554,FRANCISZEK,KRAWCZYK
67,319,2015-06-12 14:09:13 UTC,KRYTYCZNE,875518729,SEBASTIAN,BARANOWSKI
68,4,2015-06-12 19:32:05 UTC,STANDARDOWE,360931033,MIKOLAJ,PAWLAK
69,77,2015-06-13 01:43:55 UTC,STANDARDOWE,914211997,MARIAN,STEPIEN
70,245,2015-06-13 06:18:35 UTC,BEZPODSTAWNE,150568455,ANTONI,GRABOWSKI
71,209,2015-06-13 08:18:26 UTC,KRYTYCZNE,650735557,KAROL,PAWLOWSKI
72,239,2015-06-13 12:13:30 UTC,BEZPODSTAWNE,885070589,ROBERT,WOZNIAK
73,256,2015-06-13 14:33:13 UTC,NISKI PRIORYTET,134121837,IVAN,WLODARCZYK
74,18,2015-06-13 16:55:07 UTC,BEZPODSTAWNE,596055030,MARIUSZ,STEPIEN
75,68,2015-06-13 19:34:29 UTC,STANDARDOWE,466060579,JAN,WITKOWSKI
76,81,2015-06-14 01:14:33 UTC,NISKI PRIORYTET,400435587,ZBIGNIEW,KONIECZNY
77,294,2015-06-14 04:18:57 UTC,NISKI PRIORYTET,238140135,ZDZISLAW,DUDEK
78,177,2015-06-14 10:12:02 UTC,KRYTYCZNE,798106829,SLAWOMIR,NOWAK
79,56,2015-06-14 14:32:12 UTC,BEZPODSTAWNE,155598070,JACEK,ADAMCZYK
80,321,2015-06-14 21:06:34 UTC,PILNE,991597156,WOJCIECH,BARAN
81,68,2015-06-15 01:53:33 UTC,BEZPODSTAWNE,889640623,DMYTRO,GORSKI
82,141,2015-06-15 06:28:43 UTC,STANDARDOWE,679471962,PAWEL,WALCZAK
83,105,2015-06-15 10:53:08 UTC,PILNE,189472271,DAMIAN,KUCHARSKI
84,142,2015-06-15 12:56:04 UTC,NISKI PRIORYTET,128209666,PIOTR,KWIATKOWSKI
85,94,2015-06-15 16:45:08 UTC,BEZPODSTAWNE,172958384,LUKASZ,KAZMIERCZAK
86,240,2015-06-15 21:32:41 UTC,NISKI PRIORYTET,915908312,HENRYK,BLASZCZYK
87,99,2015-06-16 03:57:14 UTC,NISKI PRIORYTET,532530929,JERZY,JAWORSKI
88,29,2015-06-16 10:17:52 UTC,NISKI PRIORYTET,198590348,PIOTR,BRZEZINSKI
89,104,2015-06-16 14:25:55 UTC,PILNE,695751902,JACEK,PAWLOWSKI
